player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
714,25-26-prem-newcastle-united-vs-chelsea,73,2,0,3,1.23,0.01,2,0,1,5,24,9,0.0,0.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,3,2,1,0.0,2,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,1.77,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,25-26-prem-newcastle-united-vs-chelsea,90,0,1,0,0.0,0.0,0,0,0,0,51,16,0.0,1.0,7,0,0.0,10,0.0,0,0,4,0,2,0,0,1,0,1,0.0,0,0.0,1,0,3,2,2.67,0.67,1,16,10,0.0,1,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,25-26-prem-newcastle-united-vs-chelsea,90,0,0,1,0.02,0.01,0,2,0,0,70,46,0.0,0.0,3,0,0.0,0,0.0,0,5,9,0,0,0,1,9,5,9,0.0,0,0.0,4,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,25-26-prem-newcastle-united-vs-chelsea,90,1,0,2,0.57,0.03,1,0,0,2,29,14,0.0,2.0,3,0,0.0,0,0.0,0,0,0,0,3,2,0,6,2,1,0.0,5,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.47,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,25-26-prem-newcastle-united-vs-chelsea,72,0,1,2,0.88,0.35,2,0,2,4,36,12,0.0,2.0,4,2,0.0,1,0.0,0,0,3,0,1,0,1,5,1,5,0.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.83,2,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,25-26-prem-newcastle-united-vs-chelsea,90,1,0,2,0.1,0.07,1,0,0,1,64,41,0.0,0.0,8,1,0.0,1,0.0,0,1,0,0,1,0,0,3,5,2,0.0,1,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.41,2,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,25-26-prem-newcastle-united-vs-chelsea,90,0,0,5,0.33,0.05,1,1,0,9,50,25,0.0,2.0,0,0,0.0,1,0.0,0,1,6,0,0,0,1,4,5,3,0.0,1,0.0,2,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.27,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,25-26-prem-newcastle-united-vs-chelsea,90,0,0,0,0.0,0.05,0,0,0,0,60,30,0.0,0.0,12,1,0.0,1,0.0,0,3,9,1,1,0,0,4,3,2,0.0,2,0.0,3,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,25-26-prem-newcastle-united-vs-chelsea,90,0,0,0,0.0,0.02,0,0,0,0,48,21,0.0,1.0,5,1,0.0,0,0.0,0,4,3,0,3,3,0,8,1,5,0.0,3,0.0,2,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,25-26-prem-newcastle-united-vs-chelsea,90,0,0,0,0.0,0.01,0,0,0,0,59,40,0.0,0.0,5,0,0.0,1,0.0,0,3,8,0,6,1,0,3,0,1,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
